2025-07-28 12:45:13 | ep 01 | step 150/433 | loss 2.7542 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:13 | ep 01 | step 151/433 | loss 2.8071 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:14 | ep 01 | step 152/433 | loss 2.9230 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:15 | ep 01 | step 153/433 | loss 2.7788 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:16 | ep 01 | step 154/433 | loss 2.8087 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:16 | ep 01 | step 155/433 | loss 2.7307 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:17 | ep 01 | step 156/433 | loss 2.8690 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:18 | ep 01 | step 157/433 | loss 2.8071 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:19 | ep 01 | step 158/433 | loss 2.8104 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:20 | ep 01 | step 159/433 | loss 2.7964 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:20 | ep 01 | step 160/433 | loss 2.7402 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:21 | ep 01 | step 161/433 | loss 2.7868 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:22 | ep 01 | step 162/433 | loss 2.8061 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:23 | ep 01 | step 163/433 | loss 2.7616 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:23 | ep 01 | step 164/433 | loss 2.8213 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:24 | ep 01 | step 165/433 | loss 2.7583 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:25 | ep 01 | step 166/433 | loss 2.7678 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:26 | ep 01 | step 167/433 | loss 2.8697 | v_img 1.02e+00 | v_tab 1.02e+00
2025-07-28 12:45:27 | ep 01 | step 168/433 | loss 2.8030 | v_img 1.02e+00 | v_tab 1.02e+00
